OK    Brad Carson        D    -       -     Y     N
TX    Ralph Hall         D    Y       Y     Y     N
NJ    Steven Rothman     D    Y       -     N     N
NY    Nydia Velazquez    D    N       N     N     Y
MI    Frederick Upton    R    Y       Y     Y     N
VA    Thomas Davis       R    Y       Y     Y     N
NY    Joseph Crowley     D    Y       Y     N     Y
OH    Steven Chabot      R    Y       Y     Y     N
NJ    R. Frelinghuysen   R    Y       Y     N     N
NY    James Walsh        R    Y       Y     Y     N
AZ    John Shadegg       R    N       Y     Y     Y
NY    Thomas Reynolds    R    Y       Y     Y     N
PA    Tim Murphy         R    Y       Y     Y     N
FL    Michael Bilirakis  R    Y       Y     Y     N
AZ    Raul Grijalva      D    N       N     N     Y
IN    Dan Burton         R    Y       -     Y     Y
CO    Scott McInnis      R    Y       Y     Y     Y
WA    Jennifer Dunn      R    Y       Y     Y     N
TX    Raymond Green      D    Y       N     Y     Y
GA    Denis Majette      D    N       N     N     Y
FL    Clifford Stearns   R    Y       Y     Y     N
DE    Michael Castle     R    Y       Y     N     Y
